hotend_ist;hotend_soll;bed_ist;bed_soll
218,34 ;220,00 ;59,91 ;/60,00 
218,08 ;220,00 ;59,88 ;/60,00 
218,45 ;220,00 ;60,05 ;/60,00 
218,94 ;220,00 ;60,20 ;/60,00 
219,76 ;220,00 ;60,49 ;/60,00 
220,36 ;220,00 ;60,50 ;/60,00 
221,00 ;220,00 ;60,52 ;/60,00 
221,30 ;220,00 ;60,45 ;/60,00 
221,55 ;220,00 ;60,42 ;/60,00 
221,35 ;220,00 ;60,27 ;/60,00 
220,85 ;220,00 ;60,15 ;/60,00 
220,40 ;220,00 ;59,96 ;/60,00 
219,58 ;220,00 ;59,79 ;/60,00 
219,24 ;220,00 ;59,65 ;/60,00 
218,79 ;220,00 ;59,64 ;/60,00 
218,90 ;220,00 ;59,78 ;/60,00 
218,79 ;220,00 ;59,93 ;/60,00 
219,35 ;220,00 ;60,23 ;/60,00 
219,58 ;220,00 ;60,45 ;/60,00 
219,54 ;220,00 ;60,53 ;/60,00 
219,80 ;220,00 ;60,50 ;/60,00 
219,80 ;220,00 ;60,76 ;/60,00 
220,25 ;220,00 ;60,71 ;/60,00 
220,10 ;220,00 ;60,76 ;/60,00 
220,29 ;220,00 ;60,78 ;/60,00 
220,25 ;220,00 ;60,82 ;/60,00 
220,25 ;220,00 ;60,88 ;/60,00 
220,33 ;220,00 ;60,87 ;/60,00 
220,44 ;220,00 ;60,80 ;/60,00 
220,14 ;220,00 ;60,84 ;/60,00 
220,48 ;220,00 ;60,83 ;/60,00 
220,59 ;220,00 ;60,78 ;/60,00 
220,51 ;220,00 ;60,81 ;/60,00 
220,55 ;220,00 ;60,74 ;/60,00 
220,48 ;220,00 ;60,66 ;/60,00 
220,74 ;220,00 ;60,58 ;/60,00 
220,74 ;220,00 ;60,43 ;/60,00 
220,29 ;220,00 ;60,39 ;/60,00 
220,55 ;220,00 ;60,08 ;/60,00 
219,91 ;220,00 ;60,07 ;/60,00 
219,39 ;220,00 ;59,71 ;/60,00 
219,01 ;220,00 ;59,70 ;/60,00 
218,79 ;220,00 ;59,60 ;/60,00 
218,64 ;220,00 ;59,65 ;/60,00 
218,79 ;220,00 ;59,75 ;/60,00 
219,20 ;220,00 ;60,03 ;/60,00 
219,50 ;220,00 ;60,32 ;/60,00 
219,91 ;220,00 ;60,78 ;/60,00 
220,51 ;220,00 ;60,84 ;/60,00 
220,89 ;220,00 ;60,95 ;/60,00 
220,70 ;220,00 ;60,84 ;/60,00 
220,51 ;220,00 ;60,83 ;/60,00 
220,33 ;220,00 ;60,78 ;/60,00 
220,51 ;220,00 ;60,63 ;/60,00 
220,10 ;220,00 ;60,52 ;/60,00 
219,61 ;220,00 ;60,35 ;/60,00 
219,80 ;220,00 ;60,30 ;/60,00 
219,69 ;220,00 ;60,12 ;/60,00 
219,65 ;220,00 ;59,97 ;/60,00 
219,88 ;220,00 ;59,87 ;/60,00 
219,95 ;220,00 ;59,75 ;/60,00 
220,21 ;220,00 ;59,88 ;/60,00 
220,25 ;210,00 ;60,01 ;/60,00 
220,21 ;210,00 ;60,28 ;/60,00 
220,10 ;210,00 ;60,28 ;/60,00 
218,83 ;210,00 ;60,23 ;/60,00 
217,66 ;210,00 ;60,19 ;/60,00 
215,98 ;210,00 ;60,16 ;/60,00 
213,73 ;210,00 ;60,07 ;/60,00 
211,18 ;210,00 ;60,00 ;/60,00 
208,66 ;210,00 ;59,86 ;/60,00 
206,44 ;210,00 ;59,95 ;/60,00 
204,59 ;0,00 ;60,19 ;/0,00 
203,03 ;0,00 ;60,30 ;/0,00 
201,16 ;0,00 ;60,41 ;/0,00 
199,28 ;0,00 ;60,47 ;/0,00 
197,60 ;0,00 ;60,42 ;/0,00 
195,85 ;0,00 ;60,32 ;/0,00 
193,75 ;0,00 ;60,19 ;/0,00 
190,91 ;0,00 ;60,17 ;/0,00 
